sample_set	sample_id	flow_cell	flow_cell_type	path
200085	200085	m84046_230703_215053_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200085/m84046_230703_215053_s2.ccs.filtered.fastq.gz
200102	200102	m84039_230401_024513_s2	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200102/m84039_230401_024513_s2.ccs.filtered.fastq.gz
200102	200102	m84046_230512_224813_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200102/m84046_230512_224813_s3.ccs.filtered.fastq.gz
200102	200102	m84046_230519_213817_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200102/m84046_230519_213817_s3.ccs.filtered.fastq.gz
200102	200102	m84039_230404_000434_s2	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200102/m84039_230404_000434_s2.ccs.filtered.fastq.gz
200106	200106	m84046_230517_221800_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200106/m84046_230517_221800_s2.ccs.filtered.fastq.gz
200106	200106	m84046_230519_213817_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200106/m84046_230519_213817_s3.ccs.filtered.fastq.gz
200106	200106	m84039_230320_213709_s3	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200106/m84039_230320_213709_s3.ccs.filtered.fastq.gz
200106	200106	m84046_230515_204601_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200106/m84046_230515_204601_s2.ccs.filtered.fastq.gz
NA12892	NA12892	m84046_230327_223715_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12892/m84046_230327_223715_s3.ccs.filtered.fastq.gz
NA12892	NA12892	m64076_230314_050530	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12892/m64076_230314_050530.ccs.filtered.fastq.gz
NA12892	NA12892	m64076_230311_094742	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12892/m64076_230311_094742.ccs.filtered.fastq.gz
NA12892	NA12892	m64076_230312_191745	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12892/m64076_230312_191745.ccs.filtered.fastq.gz
NA12878	NA12878	m64076_230330_235351	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m64076_230330_235351.ccs.filtered.fastq.gz
NA12878	NA12878	m84046_230424_215157_s4	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m84046_230424_215157_s4.ccs.filtered.fastq.gz
NA12878	NA12878	m84046_230428_221253_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m84046_230428_221253_s1.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230212_161302	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230212_161302.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230211_064937	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230211_064937.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230329_041509	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230329_041509.ccs.filtered.fastq.gz
NA12878	NA12878	m64076_230211_120629	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m64076_230211_120629.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230330_133121	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230330_133121.ccs.filtered.fastq.gz
NA12878	NA12878	m84046_230427_191920_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m84046_230427_191920_s1.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230327_190242	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230327_190242.ccs.filtered.fastq.gz
NA12878	NA12878	m84046_230427_194942_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m84046_230427_194942_s2.ccs.filtered.fastq.gz
NA12878	NA12878	m54329U_230214_013859	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12878/m54329U_230214_013859.ccs.filtered.fastq.gz
200084	200084	m84046_230711_223630_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200084/m84046_230711_223630_s1.ccs.filtered.fastq.gz
200084	200084	m84046_230708_193430_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200084/m84046_230708_193430_s1.ccs.filtered.fastq.gz
